run,slice,method,eval_rows,examples,base_regret_rate,auroc,average_precision,log_loss,brier,top_k,topk_realized_regret,topk_lift,confidence_log_loss,confidence_brier,delta_log_loss_vs_confidence,delta_brier_vs_confidence
math500_disjoint,all,confidence_only,105600,100,0.4205492424242424,0.8928003333568971,0.8335268323573184,0.4037760470198887,0.13180020382781107,100,0.94,2.2351722585003375,0.4037760470198887,0.13180020382781107,0.0,0.0
math500_disjoint,all,fate_lite,105600,100,0.4205492424242424,0.8944871196978605,0.8327815224515062,0.4004048316381947,0.13051397423175545,100,0.93,2.2113938302184195,0.4037760470198887,0.13180020382781107,-0.0033712153816939927,-0.0012862295960556214
math500_disjoint,all,full_trace,105600,100,0.4205492424242424,0.8945562628818017,0.8330246269864751,0.4001659617759315,0.13044302457986398,100,0.92,2.187615401936501,0.4037760470198887,0.13180020382781107,-0.003610085243957173,-0.0013571792479470934
math500_disjoint,activation_0.00_0.25,confidence_only,40600,100,0.5151724137931034,0.879536428632248,0.8594349498854965,0.4273346307617291,0.13834389017229554,100,0.93,1.8052208835341368,0.4273346307617291,0.13834389017229554,0.0,0.0
math500_disjoint,activation_0.00_0.25,fate_lite,40600,100,0.5151724137931034,0.881061863210382,0.8580178235386895,0.4239490721159058,0.13685503629891047,100,0.94,1.8246318607764391,0.4273346307617291,0.13834389017229554,-0.0033855586458232945,-0.001488853873385071
math500_disjoint,activation_0.00_0.25,full_trace,40600,100,0.5151724137931034,0.8811450697264631,0.8585581084938091,0.4237060606469677,0.13678173073589922,100,0.95,1.8440428380187417,0.4273346307617291,0.13834389017229554,-0.0036285701147614202,-0.0015621594363963154
math500_disjoint,activation_0.25_0.50,confidence_only,34400,100,0.4343313953488372,0.8844896801702711,0.8318542647870706,0.4203855824608042,0.13770451951462878,100,0.95,2.187269928384981,0.4203855824608042,0.13770451951462878,0.0,0.0
math500_disjoint,activation_0.25_0.50,fate_lite,34400,100,0.4343313953488372,0.8861419866666469,0.8305015680441087,0.41750809517985144,0.13650332382924604,100,0.92,2.118198246435982,0.4203855824608042,0.13770451951462878,-0.002877487280952773,-0.0012011956853827388
math500_disjoint,activation_0.25_0.50,full_trace,34400,100,0.4343313953488372,0.8861371438004404,0.8305573452325122,0.41736689855501974,0.13649791589010912,100,0.93,2.1412221404189817,0.4203855824608042,0.13770451951462878,-0.0030186839057844694,-0.0012066036245196587
math500_disjoint,activation_0.50_0.75,confidence_only,21600,100,0.3262037037037037,0.8902083594756943,0.7716147383491831,0.3853568229232775,0.12763036442794998,100,0.84,2.5750780584728923,0.3853568229232775,0.12763036442794998,0.0,0.0
math500_disjoint,activation_0.50_0.75,fate_lite,21600,100,0.3262037037037037,0.8921255054877797,0.7726796742506838,0.38207397574111435,0.12655467825973343,100,0.78,2.3911439114391144,0.3853568229232775,0.12763036442794998,-0.003282847182163151,-0.0010756861682165442
math500_disjoint,activation_0.50_0.75,full_trace,21600,100,0.3262037037037037,0.892247556263789,0.7724740939627153,0.3816590980704577,0.12639965416367502,100,0.8,2.452455293783707,0.3853568229232775,0.12763036442794998,-0.0036977248528197726,-0.001230710264274959
math500_disjoint,activation_0.75_1.00,confidence_only,9000,100,0.16744444444444445,0.9058665327187481,0.6315115099159145,0.2782214605088428,0.08972091558607771,100,0.69,4.120769741207697,0.2782214605088428,0.08972091558607771,0.0,0.0
math500_disjoint,activation_0.75_1.00,fate_lite,9000,100,0.16744444444444445,0.9084771090487375,0.639577952031062,0.27281572698806955,0.0885184238890338,100,0.71,4.240212342402123,0.2782214605088428,0.08972091558607771,-0.005405733520773226,-0.0012024916970439087
math500_disjoint,activation_0.75_1.00,full_trace,9000,100,0.16744444444444445,0.9085677931121026,0.6399866034547066,0.2726446302952124,0.08840936568899932,100,0.72,4.299933642999336,0.2782214605088428,0.08972091558607771,-0.005576830213630368,-0.0013115498970783929
math500_disjoint,confidence_quartile_1,confidence_only,25127,100,0.8632546662952203,0.6232211792694824,0.9060520368255808,0.3915276940759402,0.11618442126152971,100,0.94,1.088902309713706,0.3915276940759402,0.11618442126152971,0.0,0.0
math500_disjoint,confidence_quartile_1,fate_lite,25127,100,0.8632546662952203,0.6118785605999904,0.9016585983052625,0.39469083471594396,0.11692706070003146,100,0.93,1.0773182425890924,0.3915276940759402,0.11618442126152971,0.003163140640003781,0.0007426394385017521
math500_disjoint,confidence_quartile_1,full_trace,25127,100,0.8632546662952203,0.6124551316568316,0.9019928112965021,0.3943598642886075,0.11684481465718152,100,0.92,1.0657341754644785,0.3915276940759402,0.11618442126152971,0.0028321702126672954,0.0006603933956518121
math500_disjoint,confidence_quartile_2,confidence_only,26285,100,0.6069241011984021,0.608096166223279,0.6888037973653047,0.6571881649678014,0.23227091077038128,100,0.74,1.2192628345765686,0.6571881649678014,0.23227091077038128,0.0,0.0
math500_disjoint,confidence_quartile_2,fate_lite,26285,100,0.6069241011984021,0.623139227044678,0.6982452547799736,0.6525445907718083,0.22998647752241605,100,0.71,1.1698332602018429,0.6571881649678014,0.23227091077038128,-0.00464357419599315,-0.002284433247965234
math500_disjoint,confidence_quartile_2,full_trace,26285,100,0.6069241011984021,0.6231119619942428,0.6984690551005781,0.6523391428713154,0.22989853302717428,100,0.74,1.2192628345765686,0.6571881649678014,0.23227091077038128,-0.0048490220964859665,-0.002372377743207005
math500_disjoint,confidence_quartile_3,confidence_only,27958,100,0.23102510909220975,0.693344598038855,0.36621950522588353,0.5011026703734892,0.16435065558416342,100,0.41,1.7746988697940858,0.5011026703734892,0.16435065558416342,0.0,0.0
math500_disjoint,confidence_quartile_3,fate_lite,27958,100,0.23102510909220975,0.7126923764572927,0.3909863685962368,0.4913468786729769,0.16100094799583275,100,0.44,1.9045548846570677,0.5011026703734892,0.16435065558416342,-0.009755791700512328,-0.0033497075883306693
math500_disjoint,confidence_quartile_3,full_trace,27958,100,0.23102510909220975,0.7130957768365223,0.39225641422582225,0.4910796301073191,0.1608953754185447,100,0.46,1.991125561232389,0.5011026703734892,0.16435065558416342,-0.010023040266170125,-0.003455280165618718
