dataset,example_id,semantic_label,representation_label,repeat,execution_order,semantic_plan_sha256,reference_plan_sha256,a2_latency_s,a3_latency_s,runtime_gain,speedup,a2_exact_a1,a3_exact_a2,answer_or_correctness_changed,generation_reference_opportunity,total_row_removal_fraction,prompt_len,gen_length,nfe
math500,math500-test-400,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,7bffbbdc2ab961b299718d77c80e1c6d4e23c3f7c1cc63e0d83b0450b764fafe,b8209d4f01abf47dea7227610d18f8debec62a6dab0cd75b0c61e2546c16469c,3.5169118649791926,3.635398232843727,-0.03369045697289175,0.9674075960113315,1,1,0,0.476806640625,0.18382906626506024,102,64,64
math500,math500-test-400,safe_c095_s2,robust_delayed_one_update,1,A3_then_A2,7bffbbdc2ab961b299718d77c80e1c6d4e23c3f7c1cc63e0d83b0450b764fafe,b8209d4f01abf47dea7227610d18f8debec62a6dab0cd75b0c61e2546c16469c,3.5186542079318315,3.6316163460724056,-0.032103790672562305,0.9688948040277595,1,1,0,0.476806640625,0.18382906626506024,102,64,64
math500,math500-test-400,safe_c095_s2,robust_delayed_one_update,2,A2_then_A3,7bffbbdc2ab961b299718d77c80e1c6d4e23c3f7c1cc63e0d83b0450b764fafe,b8209d4f01abf47dea7227610d18f8debec62a6dab0cd75b0c61e2546c16469c,3.5183900000993162,3.6393799299839884,-0.03438786771257796,0.966755345082863,1,1,0,0.476806640625,0.18382906626506024,102,64,64
math500,math500-test-400,safe_c095_s2,robust_delayed_one_update,3,A3_then_A2,7bffbbdc2ab961b299718d77c80e1c6d4e23c3f7c1cc63e0d83b0450b764fafe,b8209d4f01abf47dea7227610d18f8debec62a6dab0cd75b0c61e2546c16469c,3.5195041419938207,3.6323754501063377,-0.03207023022526534,0.9689263101617943,1,1,0,0.476806640625,0.18382906626506024,102,64,64
math500,math500-test-400,safe_c095_s2,robust_delayed_one_update,4,A2_then_A3,7bffbbdc2ab961b299718d77c80e1c6d4e23c3f7c1cc63e0d83b0450b764fafe,b8209d4f01abf47dea7227610d18f8debec62a6dab0cd75b0c61e2546c16469c,3.5198388940189034,3.63388142012991,-0.03239992782192225,0.9686168829067269,1,1,0,0.476806640625,0.18382906626506024,102,64,64
math500,math500-test-400,aggressive_c090_age4_s8,robust_delayed_one_update,0,A2_then_A3,74fcad4ddd39ab318886f41b01bf523c10be75e0634077e2b79bd19a75f8bb91,caf09940069f83a4e16a2f34a018d7c8adc8f0553e7fb28c3fc90e6934f2687b,3.3016251968219876,3.4094821820035577,-0.03266784651552479,0.9683655818027509,1,1,0,0.4669270833333333,0.18002008032128514,102,64,60
math500,math500-test-400,aggressive_c090_age4_s8,robust_delayed_one_update,1,A3_then_A2,74fcad4ddd39ab318886f41b01bf523c10be75e0634077e2b79bd19a75f8bb91,caf09940069f83a4e16a2f34a018d7c8adc8f0553e7fb28c3fc90e6934f2687b,3.3007211349904537,3.409099522046745,-0.032834760230844084,0.9682090867821825,1,1,0,0.4669270833333333,0.18002008032128514,102,64,60
math500,math500-test-400,aggressive_c090_age4_s8,robust_delayed_one_update,2,A2_then_A3,74fcad4ddd39ab318886f41b01bf523c10be75e0634077e2b79bd19a75f8bb91,caf09940069f83a4e16a2f34a018d7c8adc8f0553e7fb28c3fc90e6934f2687b,3.3009199420921504,3.4071118200663477,-0.03217038881194201,0.9688322885827301,1,1,0,0.4669270833333333,0.18002008032128514,102,64,60
math500,math500-test-400,aggressive_c090_age4_s8,robust_delayed_one_update,3,A3_then_A2,74fcad4ddd39ab318886f41b01bf523c10be75e0634077e2b79bd19a75f8bb91,caf09940069f83a4e16a2f34a018d7c8adc8f0553e7fb28c3fc90e6934f2687b,3.30247188010253,3.4058219140861183,-0.03129475064005072,0.969654891949534,1,1,0,0.4669270833333333,0.18002008032128514,102,64,60
math500,math500-test-400,aggressive_c090_age4_s8,robust_delayed_one_update,4,A2_then_A3,74fcad4ddd39ab318886f41b01bf523c10be75e0634077e2b79bd19a75f8bb91,caf09940069f83a4e16a2f34a018d7c8adc8f0553e7fb28c3fc90e6934f2687b,3.303209956968203,3.407949030864984,-0.03170827021631828,0.969266244022964,1,1,0,0.4669270833333333,0.18002008032128514,102,64,60
math500,math500-test-401,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,a2cac0706a21ca118d75939cd384cbefdfc413c8a0d2f339bf840a08b9efffe5,5760e64654975cc6bb803de88fc29d65e9f763369420044d52997b5d8dcffb20,3.351631605066359,3.46825293591246,-0.0347953906001528,0.9663746177106834,1,1,0,0.47619047619047616,0.21768707482993196,76,64,63
math500,math500-test-401,safe_c095_s2,robust_delayed_one_update,1,A3_then_A2,a2cac0706a21ca118d75939cd384cbefdfc413c8a0d2f339bf840a08b9efffe5,5760e64654975cc6bb803de88fc29d65e9f763369420044d52997b5d8dcffb20,3.351573086110875,3.4676340881269425,-0.03462881430126985,0.9665302050140018,1,1,0,0.47619047619047616,0.21768707482993196,76,64,63
math500,math500-test-401,safe_c095_s2,robust_delayed_one_update,2,A2_then_A3,a2cac0706a21ca118d75939cd384cbefdfc413c8a0d2f339bf840a08b9efffe5,5760e64654975cc6bb803de88fc29d65e9f763369420044d52997b5d8dcffb20,3.3505874229595065,3.4702525429893285,-0.0357146687801162,0.9655168842764565,1,1,0,0.47619047619047616,0.21768707482993196,76,64,63
math500,math500-test-401,safe_c095_s2,robust_delayed_one_update,3,A3_then_A2,a2cac0706a21ca118d75939cd384cbefdfc413c8a0d2f339bf840a08b9efffe5,5760e64654975cc6bb803de88fc29d65e9f763369420044d52997b5d8dcffb20,3.3498546010814607,3.4658231760840863,-0.03461898763163829,0.9665393849856891,1,1,0,0.47619047619047616,0.21768707482993196,76,64,63
math500,math500-test-401,safe_c095_s2,robust_delayed_one_update,4,A2_then_A3,a2cac0706a21ca118d75939cd384cbefdfc413c8a0d2f339bf840a08b9efffe5,5760e64654975cc6bb803de88fc29d65e9f763369420044d52997b5d8dcffb20,3.352435650071129,3.4684656199533492,-0.03461064789707691,0.9665471760150298,1,1,0,0.47619047619047616,0.21768707482993196,76,64,63
math500,math500-test-401,aggressive_c090_age4_s8,robust_delayed_one_update,0,A2_then_A3,5a22aba166bf84a8d396d432baff70c88526a9b22c1ab359bb1883df11a09343,fdeb25e2169bd153f98f13199499ab53078d47875254305a8ac4faecc6ce489c,3.0872402768582106,3.1938805538229644,-0.03454226668527349,0.9666110628848943,1,1,0,0.47979525862068967,0.21933497536945812,76,64,58
math500,math500-test-401,aggressive_c090_age4_s8,robust_delayed_one_update,1,A3_then_A2,5a22aba166bf84a8d396d432baff70c88526a9b22c1ab359bb1883df11a09343,fdeb25e2169bd153f98f13199499ab53078d47875254305a8ac4faecc6ce489c,3.086343181086704,3.1916721498128027,-0.034127432545920655,0.9669988132295241,1,1,0,0.47979525862068967,0.21933497536945812,76,64,58
