dataset,example_id,semantic_label,representation_label,repeat,execution_order,semantic_plan_sha256,reference_plan_sha256,a2_latency_s,a3_latency_s,runtime_gain,speedup,a2_exact_a1,a3_exact_a2,answer_or_correctness_changed,generation_reference_opportunity,total_row_removal_fraction,prompt_len,gen_length,nfe
humaneval,HumanEval/20,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,72bd378fadc9dc6f804f31c7831cb7270e18679631dd23c35e63c6ddca383f98,ba2948be5920aebe67a1451362e092d76dcbacd5a4d47d37ef94c4047e17d238,8.679387959185988,8.43906125985086,0.02768936017899437,1.0284778948671094,1,1,0,0.4872332317073171,0.18728484582143118,205,128,123
humaneval,HumanEval/20,safe_c095_s2,robust_delayed_one_update,1,A3_then_A2,72bd378fadc9dc6f804f31c7831cb7270e18679631dd23c35e63c6ddca383f98,ba2948be5920aebe67a1451362e092d76dcbacd5a4d47d37ef94c4047e17d238,8.709252657135949,8.436244616983458,0.03134689632970977,1.0323613233787559,1,1,0,0.4872332317073171,0.18728484582143118,205,128,123
humaneval,HumanEval/20,safe_c095_s2,robust_delayed_one_update,2,A2_then_A3,72bd378fadc9dc6f804f31c7831cb7270e18679631dd23c35e63c6ddca383f98,ba2948be5920aebe67a1451362e092d76dcbacd5a4d47d37ef94c4047e17d238,8.705076402053237,8.451254138024524,0.029157959368265263,1.0300336801950727,1,1,0,0.4872332317073171,0.18728484582143118,205,128,123
humaneval,HumanEval/20,safe_c095_s2,robust_delayed_one_update,3,A3_then_A2,72bd378fadc9dc6f804f31c7831cb7270e18679631dd23c35e63c6ddca383f98,ba2948be5920aebe67a1451362e092d76dcbacd5a4d47d37ef94c4047e17d238,8.717637072084472,8.44544027512893,0.03122368994084035,1.0322300304173764,1,1,0,0.4872332317073171,0.18728484582143118,205,128,123
humaneval,HumanEval/20,safe_c095_s2,robust_delayed_one_update,4,A2_then_A3,72bd378fadc9dc6f804f31c7831cb7270e18679631dd23c35e63c6ddca383f98,ba2948be5920aebe67a1451362e092d76dcbacd5a4d47d37ef94c4047e17d238,8.716640470083803,8.45942086004652,0.02950903056287335,1.0304062907251865,1,1,0,0.4872332317073171,0.18728484582143118,205,128,123
humaneval,HumanEval/20,aggressive_c090_age4_s8,robust_delayed_one_update,0,A2_then_A3,fd6cd173def7d08731209fcd5752aec597068f6d18fb09e72373803353d6f258,3658604d747a3f92a24d0d6fac92c5023d508d6436bff6f9910624100663b711,8.57797308289446,8.324735295958817,0.0295218677522584,1.0304199206260138,1,1,0,0.48676394628099173,0.18710445983173257,205,128,121
humaneval,HumanEval/20,aggressive_c090_age4_s8,robust_delayed_one_update,1,A3_then_A2,fd6cd173def7d08731209fcd5752aec597068f6d18fb09e72373803353d6f258,3658604d747a3f92a24d0d6fac92c5023d508d6436bff6f9910624100663b711,8.58445571991615,8.318308772984892,0.031003357185918068,1.031995319504803,1,1,0,0.48676394628099173,0.18710445983173257,205,128,121
humaneval,HumanEval/20,aggressive_c090_age4_s8,robust_delayed_one_update,2,A2_then_A3,fd6cd173def7d08731209fcd5752aec597068f6d18fb09e72373803353d6f258,3658604d747a3f92a24d0d6fac92c5023d508d6436bff6f9910624100663b711,8.580332475947216,8.319587104022503,0.03038872592124453,1.031341143336145,1,1,0,0.48676394628099173,0.18710445983173257,205,128,121
humaneval,HumanEval/20,aggressive_c090_age4_s8,robust_delayed_one_update,3,A3_then_A2,fd6cd173def7d08731209fcd5752aec597068f6d18fb09e72373803353d6f258,3658604d747a3f92a24d0d6fac92c5023d508d6436bff6f9910624100663b711,8.587237309198827,8.31921986117959,0.031211137921171694,1.0322166564283148,1,1,0,0.48676394628099173,0.18710445983173257,205,128,121
humaneval,HumanEval/20,aggressive_c090_age4_s8,robust_delayed_one_update,4,A2_then_A3,fd6cd173def7d08731209fcd5752aec597068f6d18fb09e72373803353d6f258,3658604d747a3f92a24d0d6fac92c5023d508d6436bff6f9910624100663b711,8.580728344852105,8.325071457074955,0.029794310867623186,1.0307092724783622,1,1,0,0.48676394628099173,0.18710445983173257,205,128,121
humaneval,HumanEval/21,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,153ff228f0a674713c5650743e85ccb95d6571e99e2f50b10b81e206b142801a,24ca2659c2327d15b79076c418ea1b86fe7f2f19d2a98b8e38fad3e60ae47eba,8.023706960026175,8.011309155961499,0.0015451466668015001,1.0015475378397363,1,1,0,0.49339430894308944,0.2177740398093636,162,128,123
